"trainer/global_step","egnn_3_4_oxygen_test_lr_1e-3_clip_0.1_entropy_0.001_seed_123 - _step","egnn_3_4_oxygen_test_lr_1e-3_clip_0.1_entropy_0.001_seed_123 - _step__MIN","egnn_3_4_oxygen_test_lr_1e-3_clip_0.1_entropy_0.001_seed_123 - _step__MAX","egnn_3_4_oxygen_test_lr_1e-3_clip_0.1_entropy_0.001_seed_123 - train/reward_mean","egnn_3_4_oxygen_test_lr_1e-3_clip_0.1_entropy_0.001_seed_123 - train/reward_mean__MIN","egnn_3_4_oxygen_test_lr_1e-3_clip_0.1_entropy_0.001_seed_123 - train/reward_mean__MAX"
"0","16","16","16","0.42816826701164246","0.42816826701164246","0.42816826701164246"
"1","30","30","30","0.6491712927818298","0.6491712927818298","0.6491712927818298"
"2","44","44","44","0.7642080187797546","0.7642080187797546","0.7642080187797546"
"3","58","58","58","0.852907121181488","0.852907121181488","0.852907121181488"
"4","72","72","72","0.9011449217796326","0.9011449217796326","0.9011449217796326"
"5","86","86","86","0.8866825103759766","0.8866825103759766","0.8866825103759766"
"6","100","100","100","0.9235349893569946","0.9235349893569946","0.9235349893569946"
"7","114","114","114","0.8770074844360352","0.8770074844360352","0.8770074844360352"
"8","128","128","128","0.9332893490791321","0.9332893490791321","0.9332893490791321"
"9","142","142","142","0.9659704566001892","0.9659704566001892","0.9659704566001892"
"10","156","156","156","0.9982694983482361","0.9982694983482361","0.9982694983482361"
"11","170","170","170","0.9975067377090454","0.9975067377090454","0.9975067377090454"
"12","184","184","184","0.9921764731407166","0.9921764731407166","0.9921764731407166"
"13","198","198","198","0.996350884437561","0.996350884437561","0.996350884437561"
"14","212","212","212","0.9979836344718933","0.9979836344718933","0.9979836344718933"
"15","226","226","226","0.9914981126785278","0.9914981126785278","0.9914981126785278"
"16","240","240","240","0.9974620938301086","0.9974620938301086","0.9974620938301086"
"17","254","254","254","0.9970564246177673","0.9970564246177673","0.9970564246177673"
"18","268","268","268","0.9990727305412292","0.9990727305412292","0.9990727305412292"
"19","282","282","282","0.9946633577346802","0.9946633577346802","0.9946633577346802"
"20","296","296","296","0.9890050888061523","0.9890050888061523","0.9890050888061523"
"21","310","310","310","0.9982256293296814","0.9982256293296814","0.9982256293296814"
"22","324","324","324","0.998357892036438","0.998357892036438","0.998357892036438"
"23","338","338","338","1","1","1"
"24","352","352","352","1","1","1"
"25","366","366","366","0.9988861083984375","0.9988861083984375","0.9988861083984375"
"26","380","380","380","0.9977062344551086","0.9977062344551086","0.9977062344551086"
"27","394","394","394","1","1","1"
"28","408","408","408","0.9977062344551086","0.9977062344551086","0.9977062344551086"
"29","422","422","422","0.9970056414604187","0.9970056414604187","0.9970056414604187"
"30","436","436","436","0.9966506958007812","0.9966506958007812","0.9966506958007812"
"31","450","450","450","0.9972913861274719","0.9972913861274719","0.9972913861274719"
"32","464","464","464","1","1","1"
"33","478","478","478","0.9954142570495605","0.9954142570495605","0.9954142570495605"
"34","492","492","492","0.9970144629478455","0.9970144629478455","0.9970144629478455"
"35","506","506","506","0.9683498740196228","0.9683498740196228","0.9683498740196228"
"36","520","520","520","0.9990727305412292","0.9990727305412292","0.9990727305412292"
"37","534","534","534","0.9983253479003906","0.9983253479003906","0.9983253479003906"
"38","548","548","548","0.9973607063293457","0.9973607063293457","0.9973607063293457"
"39","562","562","562","1","1","1"
"40","576","576","576","0.9978362917900085","0.9978362917900085","0.9978362917900085"
"41","590","590","590","0.9962908029556274","0.9962908029556274","0.9962908029556274"
"42","604","604","604","1","1","1"
"43","618","618","618","1","1","1"
"44","632","632","632","1","1","1"
"45","646","646","646","1","1","1"
"46","660","660","660","1","1","1"
"47","674","674","674","1","1","1"
"48","688","688","688","1","1","1"
"49","702","702","702","1","1","1"
"50","716","716","716","0.9830616116523743","0.9830616116523743","0.9830616116523743"
"51","730","730","730","0.981694221496582","0.981694221496582","0.981694221496582"
"52","744","744","744","0.9778839349746704","0.9778839349746704","0.9778839349746704"
"53","758","758","758","0.9792411923408508","0.9792411923408508","0.9792411923408508"
"54","772","772","772","0.9623128175735474","0.9623128175735474","0.9623128175735474"
"55","786","786","786","0.9423413276672363","0.9423413276672363","0.9423413276672363"
"56","800","800","800","0.9699319005012512","0.9699319005012512","0.9699319005012512"
"57","814","814","814","0.952729344367981","0.952729344367981","0.952729344367981"
"58","828","828","828","0.9477927088737488","0.9477927088737488","0.9477927088737488"
"59","842","842","842","0.9010219573974609","0.9010219573974609","0.9010219573974609"
"60","856","856","856","0.8935505151748657","0.8935505151748657","0.8935505151748657"
"61","870","870","870","0.8843953013420105","0.8843953013420105","0.8843953013420105"
"62","884","884","884","0.8528934717178345","0.8528934717178345","0.8528934717178345"
"63","898","898","898","0.9380506873130798","0.9380506873130798","0.9380506873130798"
"64","912","912","912","0.9269002079963684","0.9269002079963684","0.9269002079963684"
"65","926","926","926","0.6812673807144165","0.6812673807144165","0.6812673807144165"
"66","940","940","940","0.7946305274963379","0.7946305274963379","0.7946305274963379"
"67","954","954","954","0.7778356671333313","0.7778356671333313","0.7778356671333313"
"68","968","968","968","0.6093621253967285","0.6093621253967285","0.6093621253967285"
"69","982","982","982","0.7278156280517578","0.7278156280517578","0.7278156280517578"
"70","996","996","996","0.7492676973342896","0.7492676973342896","0.7492676973342896"
"71","1010","1010","1010","0.4030381143093109","0.4030381143093109","0.4030381143093109"
"72","1024","1024","1024","0.3768046200275421","0.3768046200275421","0.3768046200275421"
"73","1038","1038","1038","0.49593859910964966","0.49593859910964966","0.49593859910964966"
"74","1052","1052","1052","0.5526111721992493","0.5526111721992493","0.5526111721992493"
"75","1066","1066","1066","0.5524048209190369","0.5524048209190369","0.5524048209190369"
"76","1080","1080","1080","0.39785534143447876","0.39785534143447876","0.39785534143447876"
"77","1094","1094","1094","0.766900360584259","0.766900360584259","0.766900360584259"
"78","1108","1108","1108","0.3066941797733307","0.3066941797733307","0.3066941797733307"
"79","1122","1122","1122","0.5742227435112","0.5742227435112","0.5742227435112"
"80","1136","1136","1136","0.3832107186317444","0.3832107186317444","0.3832107186317444"
"81","1150","1150","1150","0.46905064582824707","0.46905064582824707","0.46905064582824707"
"82","1164","1164","1164","0.5845162868499756","0.5845162868499756","0.5845162868499756"
"83","1178","1178","1178","0.5341125726699829","0.5341125726699829","0.5341125726699829"
"84","1192","1192","1192","0.8338388800621033","0.8338388800621033","0.8338388800621033"
"85","1206","1206","1206","0.887499988079071","0.887499988079071","0.887499988079071"
"86","1220","1220","1220","0.887499988079071","0.887499988079071","0.887499988079071"
"87","1234","1234","1234","0.8375000357627869","0.8375000357627869","0.8375000357627869"
"88","1248","1248","1248","0.9625000357627869","0.9625000357627869","0.9625000357627869"
"89","1262","1262","1262","0.9625000357627869","0.9625000357627869","0.9625000357627869"
"90","1276","1276","1276","0.875","0.875","0.875"
"91","1290","1290","1290","0.887499988079071","0.887499988079071","0.887499988079071"
"92","1304","1304","1304","0.9125000238418579","0.9125000238418579","0.9125000238418579"
"93","1318","1318","1318","0.824999988079071","0.824999988079071","0.824999988079071"
"94","1332","1332","1332","0.7875000238418579","0.7875000238418579","0.7875000238418579"
"95","1346","1346","1346","0.875","0.875","0.875"
"96","1360","1360","1360","0.987500011920929","0.987500011920929","0.987500011920929"
"97","1374","1374","1374","1","1","1"
"98","1388","1388","1388","0.9125000238418579","0.9125000238418579","0.9125000238418579"
"99","1404","1404","1404","0.9375","0.9375","0.9375"