set,idx,ECFP4,FCFP4
PRISM,0,0.15384615384615385,0.19117647058823528
PRISM,1,0.08571428571428572,0.07894736842105263
PRISM,2,0.08490566037735849,0.09195402298850575
PRISM,3,0.0784313725490196,0.14666666666666667
PRISM,4,0.0784313725490196,0.16216216216216217
PRISM,5,0.061224489795918366,0.11764705882352941
PRISM,6,0.1111111111111111,0.16901408450704225
PRISM,7,0.09183673469387756,0.12121212121212122
PRISM,8,0.07692307692307693,0.2028985507246377
PRISM,9,0.09473684210526316,0.1388888888888889
PRISM,10,0.0673076923076923,0.125
PRISM,11,0.0970873786407767,0.1282051282051282
PRISM,12,0.12121212121212122,0.14473684210526316
PRISM,13,0.09278350515463918,0.14864864864864866
PRISM,14,0.11956521739130435,0.15584415584415584
PRISM,15,0.15789473684210525,0.2714285714285714
PRISM,16,0.047619047619047616,0.06756756756756757
PRISM,17,0.1111111111111111,0.19047619047619047
PRISM,18,0.10784313725490197,0.29850746268656714
PRISM,19,0.09782608695652174,0.14492753623188406
PRISM,20,0.09278350515463918,0.125
PRISM,21,0.07766990291262135,0.05333333333333334
PRISM,22,0.10784313725490197,0.2191780821917808
PRISM,23,0.09574468085106383,0.19117647058823528
PRISM,24,0.061855670103092786,0.1
PRISM,25,0.11,0.234375
PRISM,26,0.1276595744680851,0.16417910447761194
PRISM,27,0.19767441860465115,0.3770491803278688
PRISM,28,0.11578947368421053,0.2
PRISM,29,0.06818181818181818,0.16176470588235295
PRISM,30,0.07476635514018691,0.12987012987012986
PRISM,31,0.06363636363636363,0.10714285714285714
PRISM,32,0.14893617021276595,0.2112676056338028
PRISM,33,0.08333333333333333,0.16176470588235295
PRISM,34,0.0660377358490566,0.13333333333333333
PRISM,35,0.12631578947368421,0.25
PRISM,36,0.05504587155963303,0.02631578947368421
PRISM,37,0.07692307692307693,0.07042253521126761
PRISM,38,0.10891089108910891,0.16901408450704225
PRISM,39,0.0673076923076923,0.056338028169014086
PRISM,40,0.10204081632653061,0.14285714285714285
PRISM,41,0.1,0.1643835616438356
PRISM,42,0.0970873786407767,0.1282051282051282
PRISM,43,0.13829787234042554,0.18840579710144928
PRISM,44,0.09183673469387756,0.17142857142857143
PRISM,45,0.13131313131313133,0.14492753623188406
PRISM,46,0.0970873786407767,0.12658227848101267
PRISM,47,0.07142857142857142,0.15492957746478872
PRISM,48,0.13402061855670103,0.1917808219178082
PRISM,49,0.10784313725490197,0.2054794520547945
PRISM,50,0.10679611650485436,0.11392405063291139
PRISM,51,0.15463917525773196,0.22727272727272727
PRISM,52,0.08641975308641975,0.029411764705882353
PRISM,53,0.10784313725490197,0.14285714285714285
PRISM,54,0.09900990099009901,0.1232876712328767
PRISM,55,0.12643678160919541,0.1746031746031746
PRISM,56,0.13333333333333333,0.21052631578947367
PRISM,57,0.14285714285714285,0.4576271186440678
PRISM,58,0.09433962264150944,0.07692307692307693
PRISM,59,0.11764705882352941,0.2125
PRISM,60,0.07291666666666667,0.13043478260869565
PRISM,61,0.15625,0.27941176470588236
PRISM,62,0.0891089108910891,0.17142857142857143
PRISM,63,0.08421052631578947,0.17391304347826086
PRISM,64,0.09259259259259259,0.037037037037037035
PRISM,65,0.0761904761904762,0.1111111111111111
PRISM,66,0.10679611650485436,0.15714285714285714
PRISM,67,0.07692307692307693,0.18571428571428572
PRISM,68,0.06818181818181818,0.15151515151515152
PRISM,69,0.1188118811881188,0.14084507042253522
PRISM,70,0.13541666666666666,0.17105263157894737
PRISM,71,0.08823529411764706,0.14084507042253522
PRISM,72,0.0660377358490566,0.06944444444444445
PRISM,73,0.07692307692307693,0.18666666666666668
PRISM,74,0.09523809523809523,0.1506849315068493
PRISM,75,0.07766990291262135,0.208955223880597
PRISM,76,0.06422018348623854,0.0875
PRISM,77,0.09278350515463918,0.1791044776119403
PRISM,78,0.15,0.14864864864864866
PRISM,79,0.11538461538461539,0.15853658536585366
PRISM,80,0.10101010101010101,0.21428571428571427
PRISM,81,0.10784313725490197,0.06493506493506493
PRISM,82,0.13978494623655913,0.19402985074626866
PRISM,83,0.10679611650485436,0.0759493670886076
PRISM,84,0.13829787234042554,0.19718309859154928
PRISM,85,0.11320754716981132,0.2112676056338028
PRISM,86,0.11458333333333333,0.13636363636363635
PRISM,87,0.12,0.14285714285714285
PRISM,88,0.038461538461538464,0.05714285714285714
PRISM,89,0.06930693069306931,0.1
PRISM,90,0.06930693069306931,0.18309859154929578
PRISM,91,0.09615384615384616,0.11688311688311688
PRISM,92,0.047619047619047616,0.05172413793103448
PRISM,93,0.08737864077669903,0.16883116883116883
PRISM,94,0.07547169811320754,0.1891891891891892
PRISM,95,0.061224489795918366,0.2222222222222222
PRISM,96,0.12903225806451613,0.15492957746478872
PRISM,97,0.1111111111111111,0.09722222222222222
PRISM,98,0.061946902654867256,0.075
PRISM,99,0.09375,0.1038961038961039
DiffSBDD,0,0.09523809523809523,0.10256410256410256
DiffSBDD,1,0.08433734939759036,0.12121212121212122
DiffSBDD,2,0.14583333333333334,0.13580246913580246
DiffSBDD,3,0.10204081632653061,0.1388888888888889
DiffSBDD,4,0.05714285714285714,0.039473684210526314
DiffSBDD,5,0.09183673469387756,0.12658227848101267
DiffSBDD,6,0.10784313725490197,0.06493506493506493
DiffSBDD,7,0.04878048780487805,0.08064516129032258
DiffSBDD,8,0.07407407407407407,0.15476190476190477
DiffSBDD,9,0.10891089108910891,0.1388888888888889
DiffSBDD,10,0.09900990099009901,0.15714285714285714
DiffSBDD,11,0.0891089108910891,0.06578947368421052
DiffSBDD,12,0.08571428571428572,0.09411764705882353
DiffSBDD,13,0.1188118811881188,0.22535211267605634
DiffSBDD,14,0.0990990990990991,0.12790697674418605
DiffSBDD,15,0.08536585365853659,0.08955223880597014
DiffSBDD,16,0.07,0.1506849315068493
DiffSBDD,17,0.07142857142857142,0.06741573033707865
DiffSBDD,18,0.11214953271028037,0.11627906976744186
DiffSBDD,19,0.10843373493975904,0.109375
DiffSBDD,20,0.08536585365853659,0.07142857142857142
DiffSBDD,21,0.09009009009009009,0.07317073170731707
DiffSBDD,22,0.10975609756097561,0.25862068965517243
DiffSBDD,23,0.07920792079207921,0.05194805194805195
DiffSBDD,24,0.056818181818181816,0.0547945205479452
DiffSBDD,25,0.08571428571428572,0.21621621621621623
DiffSBDD,26,0.045871559633027525,0.0641025641025641
DiffSBDD,27,0.08653846153846154,0.21428571428571427
DiffSBDD,28,0.08571428571428572,0.09210526315789473
DiffSBDD,29,0.08653846153846154,0.2236842105263158
DiffSBDD,30,0.1262135922330097,0.2
DiffSBDD,31,0.09345794392523364,0.09090909090909091
DiffSBDD,32,0.07,0.06756756756756757
DiffSBDD,33,0.1,0.13043478260869565
DiffSBDD,34,0.2,0.3088235294117647
DiffSBDD,35,0.22580645161290322,0.2535211267605634
DiffSBDD,36,0.0761904761904762,0.15384615384615385
DiffSBDD,37,0.08490566037735849,0.17333333333333334
DiffSBDD,38,0.10377358490566038,0.21333333333333335
DiffSBDD,39,0.08888888888888889,0.208955223880597
DiffSBDD,40,0.09615384615384616,0.19480519480519481
DiffSBDD,41,0.05405405405405406,0.07894736842105263
DiffSBDD,42,0.11764705882352941,0.21621621621621623
DiffSBDD,43,0.1,0.19672131147540983
DiffSBDD,44,0.08333333333333333,0.10126582278481013
DiffSBDD,45,0.12,0.19480519480519481
DiffSBDD,46,0.05714285714285714,0.12
DiffSBDD,47,0.07954545454545454,0.1111111111111111
DiffSBDD,48,0.06976744186046512,0.04411764705882353
DiffSBDD,49,0.11320754716981132,0.1111111111111111
DiffSBDD,50,0.07446808510638298,0.10144927536231885
DiffSBDD,51,0.06542056074766354,0.1111111111111111
DiffSBDD,52,0.10091743119266056,0.10126582278481013
DiffSBDD,53,0.0891089108910891,0.136986301369863
DiffSBDD,54,0.10576923076923077,0.09876543209876543
DiffSBDD,55,0.0970873786407767,0.1232876712328767
DiffSBDD,56,0.09259259259259259,0.13924050632911392
DiffSBDD,57,0.09803921568627451,0.13157894736842105
DiffSBDD,58,0.01818181818181818,0.0875
DiffSBDD,59,0.06593406593406594,0.13432835820895522
DiffSBDD,60,0.10416666666666667,0.10144927536231885
DiffSBDD,61,0.12149532710280374,0.23684210526315788
DiffSBDD,62,0.08653846153846154,0.15
DiffSBDD,63,0.08235294117647059,0.09090909090909091
DiffSBDD,64,0.05555555555555555,0.07142857142857142
DiffSBDD,65,0.043010752688172046,0.06451612903225806
DiffSBDD,66,0.09900990099009901,0.15942028985507245
DiffSBDD,67,0.07964601769911504,0.0975609756097561
DiffSBDD,68,0.047058823529411764,0.05970149253731343
DiffSBDD,69,0.10256410256410256,0.1016949152542373
DiffSBDD,70,0.08,0.0625
DiffSBDD,71,0.10377358490566038,0.2125
DiffSBDD,72,0.05504587155963303,0.04878048780487805
DiffSBDD,73,0.07058823529411765,0.13846153846153847
DiffSBDD,74,0.07547169811320754,0.08
DiffSBDD,75,0.04,0.08641975308641975
DiffSBDD,76,0.0673076923076923,0.05333333333333334
DiffSBDD,77,0.14432989690721648,0.22535211267605634
DiffSBDD,78,0.16326530612244897,0.2191780821917808
DiffSBDD,79,0.08490566037735849,0.1
DiffSBDD,80,0.0970873786407767,0.18421052631578946
DiffSBDD,81,0.13131313131313133,0.21428571428571427
DiffSBDD,82,0.0891089108910891,0.2
DiffSBDD,83,0.047058823529411764,0.07142857142857142
DiffSBDD,84,0.08333333333333333,0.16883116883116883
DiffSBDD,85,0.08333333333333333,0.08235294117647059
DiffSBDD,86,0.07407407407407407,0.038461538461538464
DiffSBDD,87,0.08,0.13580246913580246
DiffSBDD,88,0.0970873786407767,0.2191780821917808
DiffSBDD,89,0.0625,0.16666666666666666
DiffSBDD,90,0.1326530612244898,0.15789473684210525
DiffSBDD,91,0.06060606060606061,0.07792207792207792
DiffSBDD,92,0.11650485436893204,0.15789473684210525
DiffSBDD,93,0.10576923076923077,0.10256410256410256
DiffSBDD,94,0.06363636363636363,0.0975609756097561
DiffSBDD,95,0.102803738317757,0.13095238095238096
DiffSBDD,96,0.11538461538461539,0.17567567567567569
DiffSBDD,97,0.0761904761904762,0.21052631578947367
