"epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - _step","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - _step__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - _step__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - train/reward_mean_epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - train/reward_mean_epoch__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - train/reward_mean_epoch__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - _step","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - _step__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - _step__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - train/reward_mean_epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - train/reward_mean_epoch__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - train/reward_mean_epoch__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - _step","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - _step__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - _step__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - train/reward_mean_epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - train/reward_mean_epoch__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - train/reward_mean_epoch__MAX"
"0","1","1","1","0.10522434860467911","0.10522434860467911","0.10522434860467911","1","1","1","0.11680442839860916","0.11680442839860916","0.11680442839860916","17","1","33","0.11570729687809944","0.11553386598825455","0.11588072776794434"
"1","3","3","3","0.10979132354259491","0.10979132354259491","0.10979132354259491","3","3","3","0.1119362935423851","0.1119362935423851","0.1119362935423851","19","3","35","0.10924777761101723","0.1092037484049797","0.10929180681705475"
"2","5","5","5","0.10502756386995316","0.10502756386995316","0.10502756386995316","5","5","5","0.10607780516147614","0.10607780516147614","0.10607780516147614","21","5","37","0.11620740592479706","0.11619047075510025","0.11622434109449387"
"3","7","7","7","0.1103663295507431","0.1103663295507431","0.1103663295507431","7","7","7","0.11250229179859161","0.11250229179859161","0.11250229179859161","23","7","39","0.10914276167750359","0.10913076996803284","0.10915475338697433"
"4","9","9","9","0.11105389893054962","0.11105389893054962","0.11105389893054962","9","9","9","0.11519411951303482","0.11519411951303482","0.11519411951303482","25","9","41","0.1163560338318348","0.1163024827837944","0.11640958487987518"
"5","11","11","11","0.10892163962125778","0.10892163962125778","0.10892163962125778","11","11","11","0.1074032336473465","0.1074032336473465","0.1074032336473465","27","11","43","0.11401887238025665","0.11391180008649826","0.11412594467401505"
"6","13","13","13","0.10150573402643204","0.10150573402643204","0.10150573402643204","13","13","13","0.12064634263515472","0.12064634263515472","0.12064634263515472","29","13","45","0.11073727533221245","0.11058197170495987","0.11089257895946503"
"7","15","15","15","0.10745946317911148","0.10745946317911148","0.10745946317911148","15","15","15","0.10369638353586197","0.10369638353586197","0.10369638353586197","31","15","47","0.11395148187875748","0.11383247375488281","0.11407049000263214"
"8","17","17","17","0.10843296349048615","0.10843296349048615","0.10843296349048615","17","17","17","0.11011563986539841","0.11011563986539841","0.11011563986539841","33","17","49","0.1085364781320095","0.10839782655239105","0.10867512971162796"
"9","20","20","20","0.10946457087993622","0.10946457087993622","0.10946457087993622","20","20","20","0.11225692927837372","0.11225692927837372","0.11225692927837372","36","20","52","0.10793968662619591","0.10721278190612793","0.10866659134626389"
"10","22","22","22","0.10531342029571533","0.10531342029571533","0.10531342029571533","22","22","22","0.11165690422058105","0.11165690422058105","0.11165690422058105","38","22","54","0.11497370898723602","0.11480334401130676","0.11514407396316528"
"11","24","24","24","0.10868629813194275","0.10868629813194275","0.10868629813194275","24","24","24","0.10838717222213745","0.10838717222213745","0.10838717222213745","40","24","56","0.11560879647731781","0.11357728391885757","0.11764030903577805"
"12","26","26","26","0.11152603477239609","0.11152603477239609","0.11152603477239609","26","26","26","0.1169222816824913","0.1169222816824913","0.1169222816824913","42","26","58","0.10997997969388962","0.10983749479055405","0.11012246459722519"
"13","28","28","28","0.10659308731555939","0.10659308731555939","0.10659308731555939","28","28","28","0.10357721149921417","0.10357721149921417","0.10357721149921417","44","28","60","0.11612879484891891","0.11599159240722656","0.11626599729061127"
"14","30","30","30","0.10763145983219147","0.10763145983219147","0.10763145983219147","30","30","30","0.10900315642356873","0.10900315642356873","0.10900315642356873","46","30","62","0.11205272376537323","0.11192932724952698","0.11217612028121948"
"15","32","32","32","0.10953208059072495","0.10953208059072495","0.10953208059072495","32","32","32","0.10776573419570923","0.10776573419570923","0.10776573419570923","64","64","64","0.11307525634765625","0.11307525634765625","0.11307525634765625"
"16","34","34","34","0.11063021421432495","0.11063021421432495","0.11063021421432495","34","34","34","0.10584452748298645","0.10584452748298645","0.10584452748298645","66","66","66","0.1134163960814476","0.1134163960814476","0.1134163960814476"
"17","36","36","36","0.10653916001319885","0.10653916001319885","0.10653916001319885","36","36","36","0.10987475514411926","0.10987475514411926","0.10987475514411926","68","68","68","0.11087201535701752","0.11087201535701752","0.11087201535701752"
"18","38","38","38","0.11443141102790833","0.11443141102790833","0.11443141102790833","38","38","38","0.1108178198337555","0.1108178198337555","0.1108178198337555","70","70","70","0.11044424772262573","0.11044424772262573","0.11044424772262573"
"19","41","41","41","0.10733777284622192","0.10733777284622192","0.10733777284622192","41","41","41","0.10901069641113281","0.10901069641113281","0.10901069641113281","73","73","73","0.11556274443864822","0.11556274443864822","0.11556274443864822"
"20","43","43","43","0.11778849363327026","0.11778849363327026","0.11778849363327026","43","43","43","0.11569090932607651","0.11569090932607651","0.11569090932607651","75","75","75","0.10614356398582458","0.10614356398582458","0.10614356398582458"
"21","45","45","45","0.10994021594524384","0.10994021594524384","0.10994021594524384","45","45","45","0.12042227387428284","0.12042227387428284","0.12042227387428284","77","77","77","0.10613267868757248","0.10613267868757248","0.10613267868757248"
"22","47","47","47","0.11674798280000687","0.11674798280000687","0.11674798280000687","47","47","47","0.10953379422426224","0.10953379422426224","0.10953379422426224","79","79","79","0.10973813384771347","0.10973813384771347","0.10973813384771347"
"23","49","49","49","0.10894887894392014","0.10894887894392014","0.10894887894392014","49","49","49","0.11198540031909943","0.11198540031909943","0.11198540031909943","81","81","81","0.11573687195777893","0.11573687195777893","0.11573687195777893"
"24","51","51","51","0.11290602385997772","0.11290602385997772","0.11290602385997772","51","51","51","0.10597749799489975","0.10597749799489975","0.10597749799489975","83","83","83","0.11105027794837952","0.11105027794837952","0.11105027794837952"
"25","53","53","53","0.11203547567129135","0.11203547567129135","0.11203547567129135","53","53","53","0.11562006920576096","0.11562006920576096","0.11562006920576096","85","85","85","0.11290112882852554","0.11290112882852554","0.11290112882852554"
"26","55","55","55","0.103271484375","0.103271484375","0.103271484375","55","55","55","0.10004257410764694","0.10004257410764694","0.10004257410764694","87","87","87","0.11485957354307175","0.11485957354307175","0.11485957354307175"
"27","57","57","57","0.10064467042684555","0.10064467042684555","0.10064467042684555","57","57","57","0.09875664860010147","0.09875664860010147","0.09875664860010147","89","89","89","0.10463497787714005","0.10463497787714005","0.10463497787714005"
"28","59","59","59","0.11819814145565033","0.11819814145565033","0.11819814145565033","59","59","59","0.10835161805152893","0.10835161805152893","0.10835161805152893","91","91","91","0.1117882952094078","0.1117882952094078","0.1117882952094078"
"29","62","62","62","0.10976938158273697","0.10976938158273697","0.10976938158273697","62","62","62","0.10825464874505997","0.10825464874505997","0.10825464874505997","94","94","94","0.11358733475208282","0.11358733475208282","0.11358733475208282"
"30","64","64","64","0.1094660758972168","0.1094660758972168","0.1094660758972168","64","64","64","0.10869225859642029","0.10869225859642029","0.10869225859642029","96","96","96","0.11197886615991592","0.11197886615991592","0.11197886615991592"
"31","66","66","66","0.11087270081043243","0.11087270081043243","0.11087270081043243","66","66","66","0.10850225389003754","0.10850225389003754","0.10850225389003754","98","98","98","0.10299210250377655","0.10299210250377655","0.10299210250377655"
"32","68","68","68","0.11213518679141998","0.11213518679141998","0.11213518679141998","68","68","68","0.11419646441936493","0.11419646441936493","0.11419646441936493","100","100","100","0.11180000752210617","0.11180000752210617","0.11180000752210617"
"33","70","70","70","0.11780296266078949","0.11780296266078949","0.11780296266078949","70","70","70","0.10600651055574417","0.10600651055574417","0.10600651055574417","102","102","102","0.10984267294406891","0.10984267294406891","0.10984267294406891"
"34","72","72","72","0.1038869097828865","0.1038869097828865","0.1038869097828865","72","72","72","0.10828597098588943","0.10828597098588943","0.10828597098588943","104","104","104","0.10524162650108337","0.10524162650108337","0.10524162650108337"
"35","74","74","74","0.10240605473518372","0.10240605473518372","0.10240605473518372","74","74","74","0.11497730761766434","0.11497730761766434","0.11497730761766434","106","106","106","0.10736170411109924","0.10736170411109924","0.10736170411109924"
"36","76","76","76","0.11198238283395767","0.11198238283395767","0.11198238283395767","76","76","76","0.10333963483572006","0.10333963483572006","0.10333963483572006","108","108","108","0.10695084184408188","0.10695084184408188","0.10695084184408188"
"37","78","78","78","0.10595738142728806","0.10595738142728806","0.10595738142728806","78","78","78","0.10103174299001694","0.10103174299001694","0.10103174299001694","110","110","110","0.11116424947977066","0.11116424947977066","0.11116424947977066"
"38","80","80","80","0.11058195680379868","0.11058195680379868","0.11058195680379868","80","80","80","0.11677496880292892","0.11677496880292892","0.11677496880292892","112","112","112","0.12007153034210205","0.12007153034210205","0.12007153034210205"
"39","83","83","83","0.09988760948181152","0.09988760948181152","0.09988760948181152","83","83","83","0.10549458116292953","0.10549458116292953","0.10549458116292953","115","115","115","0.10772739350795746","0.10772739350795746","0.10772739350795746"
"40","85","85","85","0.11045541614294052","0.11045541614294052","0.11045541614294052","85","85","85","0.11281481385231018","0.11281481385231018","0.11281481385231018","117","117","117","0.10903109610080719","0.10903109610080719","0.10903109610080719"
"41","87","87","87","0.11208119988441467","0.11208119988441467","0.11208119988441467","87","87","87","0.10493988543748856","0.10493988543748856","0.10493988543748856","119","119","119","0.10387690365314484","0.10387690365314484","0.10387690365314484"
"42","89","89","89","0.1030426099896431","0.1030426099896431","0.1030426099896431","89","89","89","0.10548046976327896","0.10548046976327896","0.10548046976327896","121","121","121","0.10031218081712723","0.10031218081712723","0.10031218081712723"
"43","91","91","91","0.10953028500080109","0.10953028500080109","0.10953028500080109","91","91","91","0.10391618311405182","0.10391618311405182","0.10391618311405182","123","123","123","0.10061904042959213","0.10061904042959213","0.10061904042959213"
"44","93","93","93","0.09910731762647629","0.09910731762647629","0.09910731762647629","93","93","93","0.1101190373301506","0.1101190373301506","0.1101190373301506","125","125","125","0.11273212730884552","0.11273212730884552","0.11273212730884552"
"45","95","95","95","0.10858945548534393","0.10858945548534393","0.10858945548534393","95","95","95","0.11129110306501389","0.11129110306501389","0.11129110306501389","127","127","127","0.11012956500053406","0.11012956500053406","0.11012956500053406"
"46","97","97","97","0.11655215173959732","0.11655215173959732","0.11655215173959732","97","97","97","0.11012537777423859","0.11012537777423859","0.11012537777423859","129","129","129","0.1091710701584816","0.1091710701584816","0.1091710701584816"
"47","99","99","99","0.10661302506923676","0.10661302506923676","0.10661302506923676","99","99","99","0.11215731501579285","0.11215731501579285","0.11215731501579285","131","131","131","0.1103716716170311","0.1103716716170311","0.1103716716170311"
"48","101","101","101","0.10571201890707016","0.10571201890707016","0.10571201890707016","101","101","101","0.1001003310084343","0.1001003310084343","0.1001003310084343","133","133","133","0.10899372398853302","0.10899372398853302","0.10899372398853302"
"49","104","104","104","0.10331439226865768","0.10331439226865768","0.10331439226865768","104","104","104","0.10735880583524704","0.10735880583524704","0.10735880583524704","136","136","136","0.10872173309326172","0.10872173309326172","0.10872173309326172"
"50","106","106","106","0.10755045711994171","0.10755045711994171","0.10755045711994171","106","106","106","0.10877774655818939","0.10877774655818939","0.10877774655818939","138","138","138","0.1056448295712471","0.1056448295712471","0.1056448295712471"
"51","108","108","108","0.11142339557409286","0.11142339557409286","0.11142339557409286","108","108","108","0.10658209770917892","0.10658209770917892","0.10658209770917892","140","140","140","0.11092300713062286","0.11092300713062286","0.11092300713062286"
"52","110","110","110","0.10049519687891006","0.10049519687891006","0.10049519687891006","110","110","110","0.10765647888183594","0.10765647888183594","0.10765647888183594","142","142","142","0.11248382925987244","0.11248382925987244","0.11248382925987244"
"53","112","112","112","0.11151691526174545","0.11151691526174545","0.11151691526174545","112","112","112","0.10847257077693939","0.10847257077693939","0.10847257077693939","144","144","144","0.10432499647140503","0.10432499647140503","0.10432499647140503"
"54","114","114","114","0.10352715104818344","0.10352715104818344","0.10352715104818344","114","114","114","0.11229007691144943","0.11229007691144943","0.11229007691144943","146","146","146","0.1009376272559166","0.1009376272559166","0.1009376272559166"
"55","116","116","116","0.10423905402421951","0.10423905402421951","0.10423905402421951","116","116","116","0.10598411411046982","0.10598411411046982","0.10598411411046982","148","148","148","0.10427465289831161","0.10427465289831161","0.10427465289831161"
"56","118","118","118","0.09928179532289505","0.09928179532289505","0.09928179532289505","118","118","118","0.11197926104068756","0.11197926104068756","0.11197926104068756","150","150","150","0.10859481990337372","0.10859481990337372","0.10859481990337372"
"57","120","120","120","0.11132802814245224","0.11132802814245224","0.11132802814245224","120","120","120","0.11549999564886093","0.11549999564886093","0.11549999564886093","152","152","152","0.10107208788394928","0.10107208788394928","0.10107208788394928"
"58","122","122","122","0.11827617883682251","0.11827617883682251","0.11827617883682251","122","122","122","0.10541430115699768","0.10541430115699768","0.10541430115699768","154","154","154","0.1098645031452179","0.1098645031452179","0.1098645031452179"
"59","125","125","125","0.10208260267972946","0.10208260267972946","0.10208260267972946","125","125","125","0.11052115261554718","0.11052115261554718","0.11052115261554718","157","157","157","0.10418887436389923","0.10418887436389923","0.10418887436389923"
"60","127","127","127","0.10480722039937973","0.10480722039937973","0.10480722039937973","127","127","127","0.10377871990203857","0.10377871990203857","0.10377871990203857","159","159","159","0.10012742877006531","0.10012742877006531","0.10012742877006531"
"61","129","129","129","0.10599732398986816","0.10599732398986816","0.10599732398986816","129","129","129","0.10759833455085754","0.10759833455085754","0.10759833455085754","161","161","161","0.10763198882341385","0.10763198882341385","0.10763198882341385"
"62","131","131","131","0.10357899963855743","0.10357899963855743","0.10357899963855743","131","131","131","0.10745687037706375","0.10745687037706375","0.10745687037706375","163","163","163","0.1051972359418869","0.1051972359418869","0.1051972359418869"
"63","133","133","133","0.10979720205068588","0.10979720205068588","0.10979720205068588","133","133","133","0.1141401156783104","0.1141401156783104","0.1141401156783104","165","165","165","0.10341925919055939","0.10341925919055939","0.10341925919055939"
"64","135","135","135","0.10781050473451614","0.10781050473451614","0.10781050473451614","135","135","135","0.11351009458303452","0.11351009458303452","0.11351009458303452","167","167","167","0.10130207985639572","0.10130207985639572","0.10130207985639572"
"65","","","","","","","137","137","137","0.09907610714435577","0.09907610714435577","0.09907610714435577","169","169","169","0.110381118953228","0.110381118953228","0.110381118953228"