mol_pred_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,__file__,Pocket,Method,passed_all_checks
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,False,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,False,True,False,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,False,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,False,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,False,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,False,True,False,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,False,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,False,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,False,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,False,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,False,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,False,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,False,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,False,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_2.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,False,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,False,False,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,False,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,False,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,False,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,False,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,False,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,False,False,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,False,False,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,False,False,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,True
True,True,True,True,False,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/qed_maximum_sdfs_and_OG/QED_trained_e72_cont_50_1.sdf,UNKNOWN,PRISM_QED,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/sucos_aripip_lr1e-5_ema_mean/test_time_last_ckpt_gen_100_30nodes/SuCOS_7e2z_centered_lr_1e-5_clip_0.1_30_nodes.sdf,7E2Z,PRISM_SuCOS,True
True,True,True,True,False,True,True,True,False,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/sucos_aripip_lr1e-5_ema_mean/test_time_last_ckpt_gen_100_30nodes/SuCOS_7e2z_centered_lr_1e-5_clip_0.1_30_nodes.sdf,7E2Z,PRISM_SuCOS,False
True,True,True,True,False,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/sucos_aripip_lr1e-5_ema_mean/test_time_last_ckpt_gen_100_30nodes/SuCOS_7e2z_centered_lr_1e-5_clip_0.1_30_nodes.sdf,7E2Z,PRISM_SuCOS,False
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/sucos_aripip_lr1e-5_ema_mean/test_time_last_ckpt_gen_100_30nodes/SuCOS_7e2z_centered_lr_1e-5_clip_0.1_30_nodes.sdf,7E2Z,PRISM_SuCOS,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/sucos_aripip_lr1e-5_ema_mean/test_time_last_ckpt_gen_100_30nodes/SuCOS_7e2z_centered_lr_1e-5_clip_0.1_30_nodes.sdf,7E2Z,PRISM_SuCOS,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/sucos_aripip_lr1e-5_ema_mean/test_time_last_ckpt_gen_100_30nodes/SuCOS_7e2z_centered_lr_1e-5_clip_0.1_30_nodes.sdf,7E2Z,PRISM_SuCOS,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/sucos_aripip_lr1e-5_ema_mean/test_time_last_ckpt_gen_100_30nodes/SuCOS_7e2z_centered_lr_1e-5_clip_0.1_30_nodes.sdf,7E2Z,PRISM_SuCOS,True
True,True,True,True,True,True,True,True,True,True,/Users/sanazkazeminia/Documents/mol_test_suite/data/sucos_aripip_lr1e-5_ema_mean/test_time_last_ckpt_gen_100_30nodes/SuCOS_7e2z_centered_lr_1e-5_clip_0.1_30_nodes.sdf,7E2Z,PRISM_SuCOS,True
